expression_id,operation_id,operation_ast,canonical_meaning_ja,must_preserve_ja,expression_ja,connective_expression_ja
expr-candidate-6f4ed0b85e56545133a67e26379f2cabd248e839c622366f19ab3563ec6fe895,atomic-000001,"{""filter"":[""even""]}",偶数だけを残す,整数の偶数だけを選び、奇数を除く。元の要素順は変えない。,偶数だけを識別する,偶数だけを識別して
expr-candidate-1706f3f8e855331bcf2e1859cafcc19f167df770d94ba4611d1e806d13ac341d,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を残すようにする,奇数を残すようにして
expr-candidate-53202a490245db91a7c711d09628dbc068264551d0ddc772eef2af6979b055ab,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数だけを残す,奇数だけを残し
expr-candidate-552d2182e898dd3f1c3a68fef6a8f0da4d8d26c24e63aee8bc8f81f5a1a8c221,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を残しておく,奇数を残しておき
expr-candidate-8cd0cd3a306a5842c9481be2a6e217a2aacb396b9398da563b706b6e577e1fa3,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を選んで残す,奇数を選んで残し
expr-candidate-99c21a88895c9a5a6f09d7165c91061ea572c33f69ec469d5d12342b71f2037b,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を残す,奇数を残して
expr-candidate-ac4a334eafb2e06012ea560d52622069c327f2441d2d081f4199642180e8d992,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数のみを残す,奇数のみを残し
expr-candidate-5e2f82ec2134acd49e41945ddb8eb2fef0b75e1e18f80a6b2648afee7ad2f745,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を取り出す,奇数を取り出して
expr-candidate-05e02966fbee62f9ad71cba96e75fee52e08fbca661553cd800a1aaf049bdbf0,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を選び出す,奇数を選び出して
expr-candidate-23f0050c5d724471ae336e6f3c0362db32d2660a33c4207db34573810695e9f9,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を抽出する,奇数を抽出して
expr-candidate-05094c8fc3a2fde8c548a0b89166ce31fa8e8c810cd513600ed3fc1df18d4b7a,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を特定して残す,奇数を特定して残して
expr-candidate-4bc2967037b2b6f958863d1a1467c9d2fb3081a0e6271e946dbf174dc32bf510,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を抽出して残す,奇数を抽出して残して
expr-candidate-511771e4c176a19398ceae93dcac6fc474f7ce465e9af80f450a9835d77d92ea,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を分離して残す,奇数を分離して残して
expr-candidate-c18ed55dffa998863c52547c0f390bd15421b7fabd061635196e32380f8d233c,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数だけを切り取る,奇数だけを切り取って
expr-candidate-4ddb840d2f8322cabdf1fa33c24eff8fa9892bbd873c8955d1243c6b465937be,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を個別に残す,奇数を個別に残して
expr-candidate-b153c29a67b3535867c91fe8d033f6e598dd296215cbff644d48cb4b70b8404d,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を分けて残す,奇数を分けて残して
expr-candidate-cbe981a3fb1237eb69bb5133c252f5618b6462166258d4ffe317ba72996d94bc,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を識別して残す,奇数を識別して残して
expr-candidate-0fd34ff76fee6e2244ee4bf2293215fbb8b9e46b5a270bf7d7337f37e88be69d,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を選別する,奇数を選別して
expr-candidate-12a7fe59f998e0e46cf3265991ebfdb9896f4bb52b9f16978aa5a812eb6d5e35,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を切り出す,奇数を切り出して
expr-candidate-eadc7728ced0743caeec9d59cc52db2af1d859400b71f630a32f95b8afb9fdbd,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を切り抜く,奇数を切り抜いて
expr-candidate-53176bf79db2f026cb00b76807d78698d478d68be42aedc317b7d95675be0381,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を区別して残す,奇数を区別して残し
expr-candidate-c1e221cfe657f674037c4dcc121ad37b49be86177176dd2349980211a5ca76a9,atomic-000002,"{""filter"":[""odd""]}",奇数だけを残す,整数の奇数だけを選び、偶数を除く。元の要素順は変えない。,奇数を分類して残す,奇数を分類して残し
expr-candidate-05184efdf72866edfd5d4caf9439715355c3e9d4ff35a964cfb91f31aeec07f6,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超える値を残す,kを超える値を残して
expr-candidate-06da7048c371e3cb386d8d128b2088e10039aaba99a3213af652be2d47c29369,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも大きな値を残す,kよりも大きな値を残して
expr-candidate-1ea630157f2e97cd286791a2e3d1deda44330368ad2f6aaea8893642a9501338,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値だけを残す,kより大きい値だけを残して
expr-candidate-61c50345efe5c859501716153402c6dbd22a2455edc2d5054964d4e899094dda,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも大きい値だけを残す,kよりも大きい値だけを残して
expr-candidate-98f3b5ec5568c111858b4687b15770dd3bca8ce7a3f15124d242cb08617f96aa,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超える値だけを残す,kを超える値だけを残して
expr-candidate-894ab4dac89c7a840c03506e27b625258b261422572d710e7afbe4a42b84e5f7,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きな値だけを残す,kより大きな値だけを残して
expr-candidate-2a87b616b5b713d0110b1e95221078099a214d10c94126c696a59f3c2fbde788,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を残しておく,kより大きい値を残しておいて
expr-candidate-647b8a7810a28f05c569a757e951e9defe2d79aa86e056744dd768f3ded89553,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を取得する,kより大きい値を取得して
expr-candidate-9ebe127c0a1ebb0c6dfd5709b88b4fbb9ff754ecb121a19146ed588fa8997c40,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を保存する,kより大きい値を保存して
expr-candidate-ede04aed2b86cb942da29cf4e28b14b2279c61e2dfe507c344997cf2683948d9,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を抽出する,kより大きい値を抽出して
expr-candidate-032705b4944ff57ebb42e793f9df2440dd88878ea3b087e6817db7ab474beba7,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を残すことにする,kより大きい値を残すことにして
expr-candidate-234aaba4d14f7b063e6d3ff9483399a7525394968b681210819f7a2af50a2319,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超える値を抽出する,kを超える値を抽出して
expr-candidate-36069aae284e271442e57d75a02d8b0269d1efdaf54d22e296d9f43fa64f6ecd,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを上回る値を切り出す,kを上回る値を切り出して
expr-candidate-712f882f7f82b19004214ecf8a495910c3bdddc3435a4d50d1ad9c2ca3ce6183,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kをこえる値を残す,kをこえる値を残して
expr-candidate-79e722a5f7dfd82208e533b5099ba95bbcbb2f1cb61e453e3dc7451be951c703,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超過する値を残す,kを超過する値を残して
expr-candidate-bc730e48be9ee1166282051829d40292d4ac48dea3d49952c4764e42e8751cbc,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを越える値を残す,kを越える値を残して
expr-candidate-c2e2574716bdf63c082cef476078b736e724cb70d798cf5ee23a4fcadcc89905,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを上回る値を保存する,kを上回る値を保存して
expr-candidate-3c65c21a2e353ffa44219e04b7054d2584eb4fb388c98861865d505ef905beba,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を切り出す,kより大きい値を切り出して
expr-candidate-88bee0a7e70632111fb95adbafa5337497ded9280c470e6960e3508c591db291,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超える値を切り出す,kを超える値を切り出して
expr-candidate-be84b21fe8d3e5e024b531788802497417d9b4b85c82847628d2c81dece44ba8,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きい値を残す,kより大きい値を残して
expr-candidate-30efa5b2cb026801bcccb592c26bfe00bc25c740880eb80f9dd6a7fd58bbafa5,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを上回った値を残す,kを上回った値を残して
expr-candidate-578fbb527c1d6b8c56fc51f228c66169bf8c333abefb7e80037f88b2a17d6024,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きくする値を残す,kより大きくする値を残して
expr-candidate-779e751cd65b538904acff8cfd555606064d96a4e9363bf9c625fc61f223d234,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超えている値を残す,kを超えている値を残して
expr-candidate-058906dbc6519246c2d33307c25fb83763491a3e9ba81d5907ffb1ccafa63fdd,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを越える値を切り出す,kを越える値を切り出して
expr-candidate-90c7acfd8c0483662597d793876c8c798f05c5837504c38019309a0073d0b60c,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きな値を切り出す,kより大きな値を切り出して
expr-candidate-e9870326a7b92551a0aa41ccef496ae73e879b510561f9054bf0cd62c8d6d5b3,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも大きい値を切り出す,kよりも大きい値を切り出して
expr-candidate-fd9ae691cc426227f7b008abcfd1626915dad4a59362e20b6670ea62c1c7c60b,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより大きな値を残す,kより大きな値を残して
expr-candidate-42f35111213e95bacac90ac1436b12d859ae57c1e1a96cd616ad519cf25262ba,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを超過する値を切り出す,kを超過する値を切り出して
expr-candidate-489ccd9ab5d4fd65e36aea2793e01996819899e9a27be0525d341e06439488ce,atomic-000003,"{""filter"":[""gt_k""]}",kより大きい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kを上回った値を切り出す,kを上回った値を切り出して
expr-candidate-46dc48fe2c68cc806737f7297c2c9ebe7b1e5cb757f83fbf87bfae32ad21bc77,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の項目を残す,k以上の項目を残し
expr-candidate-7762a435055dee360f29c2af4152578a240cf64f29ffedfa05c1d671fdd33030,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上のものだけを残す,k以上のものだけを残し
expr-candidate-a5d2ce4bceb843d355e02824fddaab1cb26c04f0dd360cab9d8105f10eb1bd07,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を残す,k以上の値を残し
expr-candidate-ad724f9876d1fa0335d2a8983a0b3bd3a7678f2a351fc0e5f9f6663762f55fd3,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上のものを残す,k以上のものを残し
expr-candidate-b5fa06e568dda21363de6fe2d4be27ecb21318b1cf913f1ae9a061be684ed9bb,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上だけを残す,k以上だけを残し
expr-candidate-37a61c82b7e13861956139683f96a6838e0f260cc494836841288ad6cdc696c2,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を引き続き残す,k以上の値を引き続いて残して
expr-candidate-41133915022614a45cb9205a3b7d4289068703ce615e474a2e62f6fb531c5c95,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値だけを残す,k以上の値だけを残して
expr-candidate-4a6184347f80c85f8bc740b6ea7f9f2a14b6ab474348a70e28e5aca101455257,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を残しておく,k以上の値を残しておき
expr-candidate-9e326fbf9df3d71ccb8ae387b351b437526d7b258af94abbbd71c2dfc63cfdaf,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を保持する,k以上の値を保持して
expr-candidate-da43af49aed2fe8c6069e4ae643de80bbe9ee4fe081ff97391f9ca801cd1c049,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を残すようにする,k以上の値を残すようにして
expr-candidate-e717babe57aee0870e9fc859c8f157aff2537483c4dbd9e4ee9087b15f89f441,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値をそのまま残す,k以上の値をそのまま残して
expr-candidate-fe4673b8661d7918524a6fd831e4a05605c10d24007a6443fcb55dc69f622a5c,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の値を残し続ける,k以上の値を残し続けて
expr-candidate-1609dfa7d43932ee094b807096eb70fe27428745b7e637e5bde7bdf58c8c3502,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の要素を保存する,k以上の要素を保存し
expr-candidate-057a9d837ed364a84a547da72c0633bdfb117a7a14420b9567a1d6d8296b4cc4,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上のデータを保存する,k以上のデータを保存し
expr-candidate-1599db4af2d01c11d6e6628ce8d840c32f73717dd254d1805acf0d0202d2db9e,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上を保存する,k以上を保存し
expr-candidate-dc570c0785f4df9f61d5f1b4b00f0115ad0c45f1aa35177eaa4baa78d9545056,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の情報を保存する,k以上の情報を保存し
expr-candidate-8689ea0cdb91ab8996f9b72fc04347f051b3805d516227135c8983c1d3e68625,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上のデータを残す,k以上のデータを残し
expr-candidate-fa509be3c9cacffe3bdbdee3498ea39e91d3c192d164a23445220284064f9149,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の情報を残す,k以上の情報を残し
expr-candidate-497e0989bf6843a308d578389216ca4ac1fff6528afaed8f92d8758b554fcd7f,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の要素を引き続き残す,k以上の要素を引き続き残し
expr-candidate-4bb61bee675fe91a0c7d6a0d75d2ced9413f0d491db13fa5854b589a8c2aedfe,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上を保持する,k以上を保持し
expr-candidate-7188aa333346afd656d3cfa382dbf250fe67839084f38d021a523a968676802f,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上のデータを引き続き残す,k以上のデータを引き続き残し
expr-candidate-c1cebac7eff35eaa9e08156beb8e0caebdacda7b8a07895d0ecd01ab47b40eac,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上を残す,k以上を残し
expr-candidate-a3777586949fb622d254b89b6b147fc6dcca6bab17561d416d99a84adefaf428,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の要素を残す,k以上の要素を残し
expr-candidate-a572c5c58d8024109359af1dfabc39d95704beb18331a4cb2e262f31d7bf928d,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の要素を維持する,k以上の要素を維持し
expr-candidate-b4654be401459818ff767025d1354e77ac650ac50456c5b7d158c2e8b9e0dccc,atomic-000004,"{""filter"":[""ge_k""]}",k以上の値だけを残す,kと等しい値を含める。『kより大きい』へ変えない。元の要素順は変えない。,k以上の項目を保持する,k以上の項目を保持し
expr-candidate-14b7ea29e425078fc366fde72178c87d90b464d17b21bce97f536ea6fe700c59,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,k未満の値のみを残す,k未満の値のみを残して
expr-candidate-1a95d43367c94a88b01d7c5462cc92d8671d2c601856b15d75a0f7c6ef158c69,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも小さい値だけを残す,kよりも小さい値だけを残して
expr-candidate-493b6d069432f9ac945f50113b773c6de8082dc9e30507de393e0446917d29aa,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも小さな値を残す,kよりも小さな値を残して
expr-candidate-5277bd97be7fcfc7a604cf1d1fd76e8cb43d55743b1beb11b65f7515e447be5e,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,k未満の値を保持する,k未満の値を保持して
expr-candidate-a665d661a3472472dd27ac43ffbf582e89bb60615d771fdc3da70d5213909f52,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,k以上じゃない値だけを残す,k以上じゃない値だけを残して
expr-candidate-37e329e0187130f8db6f1b3dbf7e0dc5798ab52447a6dcf06ccc1317e6a1fe99,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,k未満の値を残す,k未満の値を残して
expr-candidate-60cffd1c40728fd981c1e7ca9908167588aea6beb7bbbd0a5ba2ff2b75b4ff5e,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,k以上じゃない値を残す,k以上じゃない値を残して
expr-candidate-8db9af6e63a24e2fb7b812b6e3a969c5cc8874487a940a261119be3826039dce,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kよりも小さい値を残す,kよりも小さい値を残して
expr-candidate-a9240f741c32777554971040397a96b3d7746c29125ea26c8135712c0a313b21,atomic-000005,"{""filter"":[""lt_k""]}",kより小さい値だけを残す,kと等しい値は含めない。元の要素順は変えない。,kより小さい値を残す,kより小さい値を残して
